1|10475300
2|15758200
3|24525600
4|28152700
5|34065300
6|43250800
7|50563800
8|51975200
9|66658900
10|97434000
11|111875000
12|81953300
13|81434400
14|92374800
15|99277400
16|104547500
17|152589500
18|108861600
19|129593200
20|144721400
21|147608500
22|189424100
23|151118300
24|171884900
25|157699900
26|210329900
27|246197600
28|196201600
29|238894400
30|198066600
31|208712800
32|215281500
33|216889800
34|228291400
35|245473200
36|234038300
37|248992900
38|256900400
39|271128500
40|269543500
41|310721200
42|283708000
43|280353600
44|303759000
45|328961600
46|326397100
47|327119900
48|357634600
49|454312200
50|416005200
51|404743100
52|379486500
53|410316100
54|436442900
55|423071000
56|414173600
57|477311800
58|432933100
59|473909600
60|435757400
61|469209800
62|508260800
63|500036100
64|480702200
65|527459700
66|534350200
67|548116600
68|669975000
69|616690300
70|641959700
71|639089000
72|517086900
73|589807800
74|632720800
75|574837400
76|643266800
77|679695400
78|620049300
79|655376900
80|634802400
81|667441900
82|649551700
83|641962900
84|822256700
85|723957300
86|707195800
87|726124200
88|820839200
89|718126600
90|810072100
91|853719700
92|830113200
93|822843400
94|904938400
95|852950300
96|740806000
97|775616800
98|829308500
99|1000060000
100|933302200